family,above,below,n
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,946
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΚΡΗΤΗΣ,1975
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Δ.Π.Θ.,2271
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΚΡΗΤΗΣ,2231
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,Δ.Π.Θ.,2459
ΙΑΤΡΙΚΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,Δ.Π.Θ.,1779
ΚΤΗΝΙΑΤΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1387
ΟΔΟΝΤΙΑΤΡΙΚΗΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1327
ΦΑΡΜΑΚΕΥΤΙΚΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΑΤΡΩΝ,2252
ΦΑΡΜΑΚΕΥΤΙΚΗΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1598
ΦΑΡΜΑΚΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,Α.Π.Θ.,716
ΧΗΜΕΙΑΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1193
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Ε.Κ.Π.Α.,Α.Π.Θ.,1582
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Ε.Κ.Π.Α.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,695
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Ε.Κ.Π.Α.,Δ.Π.Θ.,892
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1198
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Α.Π.Θ.,Δ.Π.Θ.,1977
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Δ.Π.Θ.,655
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,Α.Π.Θ.,948
ΕΠΙΣΤΗΜΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ,Δ.Π.Θ.,Α.Π.Θ.,1393
ΠΛΗΡΟΦΟΡΙΚΗΣ,Ο.Π.Α.,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,1080
ΠΛΗΡΟΦΟΡΙΚΗΣ,Ο.Π.Α.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,937
ΠΛΗΡΟΦΟΡΙΚΗΣ,ΠΑΝ. ΠΕΙΡΑΙΑ,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,1021
ΠΛΗΡΟΦΟΡΙΚΗΣ,ΠΑΝ. ΠΕΙΡΑΙΑ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,861
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,Ε.Κ.Π.Α.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1255
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,Ε.Κ.Π.Α.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,909
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1475
ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,934
ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,ΠΑΝ. ΠΕΙΡΑΙΑ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,772
ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,ΠΑΝ. ΠΕΙΡΑΙΑ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,732
ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,863
ΛΟΓΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1614
ΛΟΓΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1137
ΛΟΓΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,510
ΜΑΙΕΥΤΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΔΙ.ΠΑ.Ε.,149
ΜΑΙΕΥΤΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,273
ΜΑΙΕΥΤΙΚΗΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,546
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1240
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1215
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΕΛ.ΜΕ.ΠΑ.,1296
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΔΙ.ΠΑ.Ε.,621
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,449
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1500
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΕΛ.ΜΕ.ΠΑ.,1316
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΔΙ.ΠΑ.Ε.,454
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1166
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΕΛ.ΜΕ.ΠΑ.,2018
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΔΙ.ΠΑ.Ε.,496
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,520
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1249
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΕΛ.ΜΕ.ΠΑ.,ΔΙ.ΠΑ.Ε.,372
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,295
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,708
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,634
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1206
ΝΟΣΗΛΕΥΤΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,951
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,Ε.Κ.Π.Α.,180
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΚΡΗΤΗΣ,758
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,411
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΚΡΗΤΗΣ,1546
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1692
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,Δ.Π.Θ.,1162
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε.Κ.Π.Α.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1667
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,685
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,Α.Π.Θ.,484
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,Δ.Π.Θ.,1442
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,752
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,Α.Π.Θ.,1035
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,Δ.Π.Θ.,3356
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2399
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2016
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,Δ.Π.Θ.,3312
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΚΡΗΤΗΣ,2359
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2829
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΚΡΗΤΗΣ,1038
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1663
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ.Π.Θ.,ΠΑΝ. ΚΡΗΤΗΣ,1758
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,2340
ΠΑΙΔΑΓΩΓΙΚΩΝ ΠΡΟΣΧΟΛΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,822
ΧΗΜΕΙΑΣ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,ΠΑΝ. ΠΑΤΡΩΝ,1346
ΜΑΘΗΜΑΤΙΚΩΝ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,892
ΧΗΜΕΙΑΣ,Α.Π.Θ.,ΠΑΝ. ΠΑΤΡΩΝ,3674
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,440
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,194
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,377
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,449
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,504
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1482
ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ,Δ.Π.Θ.,ΔΙ.ΠΑ.Ε.,588
ΠΛΗΡΟΦΟΡΙΚΗΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,1394
ΝΟΜΙΚΗΣ,Ε.Κ.Π.Α.,Α.Π.Θ.,1278
ΝΟΜΙΚΗΣ,Ε.Κ.Π.Α.,Δ.Π.Θ.,1412
ΝΟΜΙΚΗΣ,Α.Π.Θ.,Δ.Π.Θ.,1971
ΨΥΧΟΛΟΓΙΑΣ,Ε.Κ.Π.Α.,ΠΑΝΤΕΙΟ,2389
ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΔΙ.ΠΑ.Ε.,882
ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ,ΕΛ.ΜΕ.ΠΑ.,ΔΙ.ΠΑ.Ε.,115
ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ,ΕΛ.ΜΕ.ΠΑ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,432
ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,759
ΦΑΡΜΑΚΕΥΤΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΠΑΤΡΩΝ,2217
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1049
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΠΑΤΡΩΝ,1354
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1152
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΔΥΤ. ΑΤΤΙΚΗΣ,ΔΙ.ΠΑ.Ε.,884
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,586
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1058
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΔΙ.ΠΑ.Ε.,274
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,1616
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΔΙ.ΠΑ.Ε.,483
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΔΙ.ΠΑ.Ε.,196
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,ΠΑ. ΜΑΚ.,1126
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1572
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,Δ.Π.Θ.,1321
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Α.Π.Θ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1724
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,1479
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,Δ.Π.Θ.,1275
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1601
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,Δ.Π.Θ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,591
ΠΛΗΡΟΦΟΡΙΚΗΣ,Α.Π.Θ.,ΙΟΝΙΟ ΠΑΝ/ΜΙΟ,1377
ΠΛΗΡΟΦΟΡΙΚΗΣ,Α.Π.Θ.,ΠΑΝ. ΔΥΤ. ΜΑΚ.,1369
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑ. ΜΑΚ.,ΔΙ.ΠΑ.Ε.,786
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΠΑ. ΜΑΚ.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,646
ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ,ΔΙ.ΠΑ.Ε.,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,692
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ,ΠΑ. ΜΑΚ.,ΔΙ.ΠΑ.Ε.,1090
ΔΙΟΙΚΗΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,834
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,892
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΕΛ.ΜΕ.ΠΑ.,990
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,673
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΔΥΤ. ΜΑΚ.,ΕΛ.ΜΕ.ΠΑ.,746
ΗΛΕΚΤΡΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΜΗΧΑΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΕΛ.ΜΕ.ΠΑ.,1490
ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ,ΔΙ.ΠΑ.Ε.,Δ.Π.Θ.,1217
ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΠΑΤΡΩΝ,1466
ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ,ΠΑΝ. ΚΡΗΤΗΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,1136
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α.Π.Θ.,ΠΑΝ. ΑΙΓΑΙΟΥ,5942
ΠΑΙΔΑΓΩΓΙΚΟ ΔΗΜΟΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΝ. ΘΕΣΣΑΛΙΑΣ,ΠΑΝ. ΑΙΓΑΙΟΥ,5825
ΠΟΛΙΤΙΚΗΣ ΕΠΙΣΤΗΜΗΣ,ΠΑΝ. ΚΡΗΤΗΣ,Δ.Π.Θ.,627
ΦΙΛΟΛΟΓΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΠΑΤΡΩΝ,514
ΦΙΛΟΛΟΓΙΑΣ,ΠΑΝ. ΠΕΛ/ΝΗΣΟΥ,ΠΑΝ. ΚΡΗΤΗΣ,1005
ΦΙΛΟΛΟΓΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΚΡΗΤΗΣ,1421
ΦΙΛΟΣΟΦΙΑΣ,ΠΑΝ. ΠΑΤΡΩΝ,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,835
ΚΟΙΝΩΝΙΟΛΟΓΙΑΣ,Ε.Κ.Π.Α.,ΠΑΝΤΕΙΟ,1473
ΨΥΧΟΛΟΓΙΑΣ,Α.Π.Θ.,Ε.Κ.Π.Α.,579
ΨΥΧΟΛΟΓΙΑΣ,Α.Π.Θ.,ΠΑΝΤΕΙΟ,724
ΨΥΧΟΛΟΓΙΑΣ,Α.Π.Θ.,ΠΑΝ. ΙΩΑΝΝΙΝΩΝ,1879
ΨΥΧΟΛΟΓΙΑΣ,Α.Π.Θ.,ΠΑΝ. ΚΡΗΤΗΣ,1577
